,Uniprot,PDB
1200,P63104,1QJA
1201,P63104,1QJB
1204,P63104,2O02
1208,P63104,3RDH
1212,P63104,4IHL
1213,P63104,4N7G
1214,P63104,4N7Y
1216,P63104,4WRQ
1217,P63104,4ZDR
1218,P63104,5D2D
1219,P63104,5D3F
1222,P63104,5J31
1227,P63104,5NAS
1228,P63104,5ULO
1229,P63104,5WXN
1230,P63104,5XY9
1231,P63104,6EF5
1232,P63104,6EJL
1233,P63104,6EWW
1234,P63104,6F08
1237,P63104,6FNA
1238,P63104,6FNB
1239,P63104,6FNC
1242,P63104,6U2H
1302,P62979,3TBL
1502,Q10589,4P6Z
1503,Q10589,6CM9
1504,Q10589,6CRI
1505,Q10589,6D83
1506,Q10589,6D84
1507,Q10589,6DFF
1520,Q05823,1WDY
1521,Q05823,4G8K
1522,Q05823,4G8L
1523,Q05823,4OAU
1524,Q05823,4OAV
1693,P31948,1ELR
1694,P31948,1ELW
1695,P31948,2LNI
1696,P31948,2NC9
1697,P31948,3ESK
1698,P31948,3FWV
1832,Q92973,1QBK
1834,Q92973,2OT8
1835,Q92973,2QMR
1836,Q92973,2Z5J
1837,Q92973,2Z5K
1838,Q92973,2Z5M
1839,Q92973,2Z5N
1840,Q92973,2Z5O
1843,Q92973,4JLQ
1844,Q92973,4OO6
1846,Q92973,5TQC
1862,P63279,2XWU
1879,Q53EL6,2GGF
1880,Q53EL6,2KZT
1881,Q53EL6,2RG8
1882,Q53EL6,2ZU6
1883,Q53EL6,3EIJ
2495,P26196,4CRW
2496,P26196,4CT4
3248,Q13325,3ZGQ
3249,Q13325,4HOQ
3250,Q13325,4HOR
3251,Q13325,4HOS
3252,Q13325,4HOT
3253,Q13325,4J0U
3394,P09661,1A9N
3486,P14678,6V4X
3500,P33316,4MZ5
3501,P33316,4MZ6
3503,P09960,1GW6
3504,P09960,1H19
3505,P09960,1HS6
3506,P09960,1SQM
3507,P09960,2R59
3508,P09960,2VJ8
3509,P09960,3B7R
3510,P09960,3B7S
3511,P09960,3B7T
3512,P09960,3B7U
3513,P09960,3CHO
3514,P09960,3CHP
3515,P09960,3CHQ
3516,P09960,3CHR
3517,P09960,3CHS
3518,P09960,3FH5
3519,P09960,3FH7
3520,P09960,3FH8
3521,P09960,3FHE
3522,P09960,3FTS
3523,P09960,3FTU
3524,P09960,3FTV
3525,P09960,3FTW
3526,P09960,3FTX
3527,P09960,3FTY
3528,P09960,3FTZ
3529,P09960,3FU0
3530,P09960,3FU3
3531,P09960,3FU5
3532,P09960,3FU6
3533,P09960,3FUD
3534,P09960,3FUE
3535,P09960,3FUF
3536,P09960,3FUH
3537,P09960,3FUI
3538,P09960,3FUJ
3539,P09960,3FUK
3540,P09960,3FUL
3541,P09960,3FUM
3542,P09960,3FUN
3543,P09960,3U9W
3544,P09960,4DPR
3545,P09960,4L2L
3546,P09960,4MKT
3547,P09960,4MS6
3548,P09960,4R7L
3549,P09960,4RSY
3550,P09960,4RVB
3551,P09960,5AEN
3552,P09960,5BPP
3553,P09960,5FWQ
3554,P09960,5N3W
3555,P09960,5NI2
3556,P09960,5NI4
3557,P09960,5NI6
3558,P09960,5NIA
3559,P09960,5NID
3560,P09960,5NIE
3561,P09960,6ENB
3562,P09960,6ENC
3563,P09960,6END
3564,P09960,6O5H
3630,P09913,4G1T
3919,Q15020,5CTR
3920,Q15020,5CTT
4198,P78344,3L6A
4199,P78344,4IUL
4624,Q9BZZ5,3U0R
4625,Q9BZZ5,3V6A
4659,P11142,3ESK
4673,P11142,4KBQ
4947,P39687,2JE0
4948,P39687,2JE1
4949,P39687,4XOS
5185,Q9BRZ2,5JW7
5253,Q17RY0,5DIF
5707,O60763,2W3C
5780,P07900,2BUG
5784,P07900,2C2L
6280,P49792,4GA0
6314,P52292,1QGK
6315,P52292,1QGR
6318,P52292,3WPT
6319,P52292,4E4V
6320,P52292,4WV6
6321,P52292,5H43
6384,Q9UKF6,6V4X
6480,Q9H074,3RK6
7147,P42771,1A5E
7148,P42771,1BI7
7149,P42771,1DC2
7150,P42771,2A5E
7194,P07305,6N89
7284,P0DMV8,1XQS
7296,P0DMV8,3Q49
7376,Q9P2I0,6V4X
7381,Q9UIV1,4GMJ
7744,O43432,1HU3
7767,Q16630,6GX9
8542,P62826,1IBR
8543,P62826,1K5D
8544,P62826,1K5G
8545,P62826,1QBK
8551,P62826,3EA5
8559,P62826,3GJX
8560,P62826,3NBY
8561,P62826,3NBZ
8562,P62826,3NC0
8563,P62826,3NC1
8564,P62826,3ZJY
8565,P62826,4C0Q
8566,P62826,4GMX
8567,P62826,4GPT
8568,P62826,4HAT
8569,P62826,4HAU
8570,P62826,4HAV
8571,P62826,4HAW
8572,P62826,4HAX
8573,P62826,4HAY
8574,P62826,4HAZ
8575,P62826,4HB0
8576,P62826,4HB2
8577,P62826,4HB3
8578,P62826,4HB4
8579,P62826,4OL0
8587,P62826,5DH9
8588,P62826,5DHA
8589,P62826,5DHF
8590,P62826,5DI9
8591,P62826,5DIF
8592,P62826,5DIS
8595,P62826,5JLJ
8596,P62826,5UWH
8597,P62826,5UWI
8600,P62826,5UWP
8601,P62826,5UWQ
8602,P62826,5UWR
8603,P62826,5UWS
8604,P62826,5UWT
8606,P62826,5UWW
8607,P62826,5YRO
8608,P62826,5YST
8609,P62826,5YSU
8610,P62826,5YTB
8611,P62826,5ZPU
8612,P62826,6A38
8613,P62826,6A3A
8617,P62826,6CIT
9038,Q9UBU9,1FO1
9039,Q9UBU9,1FT8
9043,Q9UBU9,1KOH
9044,Q9UBU9,1KOO
9046,Q9UBU9,2Z5K
9047,Q9UBU9,2Z5M
9048,Q9UBU9,3RW6
9049,Q9UBU9,3RW7
9050,Q9UBU9,4WYK
9142,Q9UBQ5,1RZ4
9207,P84077,4HMY
9208,P84077,6CM9
9209,P84077,6CRI
9210,P84077,6D83
9211,P84077,6D84
9212,P84077,6DFF
9236,Q14974,1IBR
9238,Q14974,1O6O
9239,Q14974,1O6P
9240,Q14974,1QGK
9241,Q14974,1QGR
9242,Q14974,2P8Q
9243,Q14974,2Q5D
9244,Q14974,2QNA
9245,Q14974,3LWW
9246,Q14974,3W5K
9248,Q14974,6N89
9860,P10599,4PUF
9906,O75369,2WA6
9908,O75369,3FER
9909,O75369,4B7L
9979,Q14671,1IB2
9980,Q14671,1M8W
9981,Q14671,1M8X
9982,Q14671,1M8Y
9983,Q14671,1M8Z
9984,Q14671,2YJY
9985,Q14671,3BSB
9986,Q14671,3BSX
9987,Q14671,3Q0L
9988,Q14671,3Q0M
9989,Q14671,3Q0N
9990,Q14671,3Q0O
9991,Q14671,3Q0P
9992,Q14671,5YKH
9993,Q14671,5YKI
10017,P52272,2OT8
10160,O14980,1W9C
10161,O14980,2L1L
10162,O14980,3GB8
10163,O14980,4BSM
10164,O14980,4BSN
10165,O14980,5DIS
10373,P62318,6V4X
10497,P62308,6V4X
10533,P62306,6V4X
10569,P62304,6V4X
10614,P25786,5GJQ
10615,P25786,5GJR
10627,P25786,5LN3
10630,P25786,5T0G
10631,P25786,5T0H
10632,P25786,5T0I
10633,P25786,5T0J
10635,P25786,5VFP
10636,P25786,5VFQ
10637,P25786,5VFR
10638,P25786,5VFS
10639,P25786,5VFT
10640,P25786,5VFU
10644,P25786,6MSB
10645,P25786,6MSD
10646,P25786,6MSE
10647,P25786,6MSG
10648,P25786,6MSH
10649,P25786,6MSJ
10650,P25786,6MSK
10654,P25786,6WJD
10655,P25786,6WJN
10668,Q14498,4OO6
10873,P62191,5GJQ
10874,P62191,5GJR
10876,P62191,5LN3
10879,P62191,5T0G
10880,P62191,5T0H
10881,P62191,5T0I
10882,P62191,5T0J
10883,P62191,5VFP
10884,P62191,5VFQ
10885,P62191,5VFR
10886,P62191,5VFS
10887,P62191,5VFT
10888,P62191,5VFU
10889,P62191,5VGZ
10890,P62191,5VHF
10891,P62191,5VHH
10892,P62191,5VHI
10893,P62191,5VHJ
10894,P62191,5VHM
10896,P62191,5VHO
10897,P62191,5VHP
10899,P62191,5VHR
10900,P62191,5VHS
10901,P62191,6MSB
10902,P62191,6MSD
10903,P62191,6MSG
10904,P62191,6MSH
10905,P62191,6MSJ
10906,P62191,6MSK
10907,P62191,6WJD
10908,P62191,6WJN
11018,P60900,5GJQ
11019,P60900,5GJR
11031,P60900,5LN3
11034,P60900,5T0G
11035,P60900,5T0H
11036,P60900,5T0I
11037,P60900,5T0J
11039,P60900,5VFP
11040,P60900,5VFQ
11041,P60900,5VFR
11042,P60900,5VFS
11043,P60900,5VFT
11044,P60900,5VFU
11048,P60900,6MSB
11049,P60900,6MSD
11050,P60900,6MSG
11051,P60900,6MSH
11052,P60900,6MSK
11056,P60900,6WJD
11057,P60900,6WJN
11127,A5YKK6,4C0D
11128,A5YKK6,4CQO
11129,A5YKK6,4CRU
11130,A5YKK6,4CRV
11131,A5YKK6,4CRW
11132,A5YKK6,4CT4
11133,A5YKK6,4CT6
11134,A5YKK6,4CT7
11135,A5YKK6,4GMJ
11136,A5YKK6,4GML
11139,A5YKK6,5FU6
11140,A5YKK6,5FU7
11141,A5YKK6,5ONA
11211,Q02790,1P5Q
11213,Q02790,1QZ2
11418,Q07955,4C0O
11428,P60842,2ZU6
11440,Q14103,2Z5N
11997,P55210,4JB8
12212,Q9HAU5,1UW4
12214,Q9HAU5,4CEK
12215,Q9HAU5,4CEM
12268,P47813,3ZJY
12379,Q86TB9,2XEQ
12380,Q86TB9,2XER
12381,Q86TB9,2XES
12592,P0CG48,5A5B
12654,P0CG48,6WJD
12893,Q9BZI7,1UW4
12908,P08238,1QZ2
12911,P08238,3FWV
12914,P08238,3UQ3
12925,P55072,3EBB
13016,P55036,5GJQ
13017,P55036,5GJR
13018,P55036,5L4K
13019,P55036,5LN3
13022,P55036,5T0G
13023,P55036,5T0H
13024,P55036,5T0I
13025,P55036,5T0J
13026,P55036,5VFP
13027,P55036,5VFQ
13028,P55036,5VFR
13029,P55036,5VFS
13030,P55036,5VFT
13031,P55036,5VFU
13032,P55036,5VGZ
13033,P55036,5VHF
13034,P55036,5VHH
13035,P55036,5VHI
13036,P55036,5VHS
13037,P55036,6MSB
13038,P55036,6MSD
13039,P55036,6MSE
13040,P55036,6MSG
13041,P55036,6MSH
13042,P55036,6MSJ
13043,P55036,6MSK
13046,P55036,6WJD
13047,P55036,6WJN
13048,Q8TB72,3Q0Q
13049,Q8TB72,3Q0R
13050,Q8TB72,3Q0S
13150,P53041,1A17
13152,P53041,1WAO
13153,P53041,2BUG
